drugbank_id	mcule_id	inchi_key
DB00268	MCULE-8190476072	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00271	MCULE-8322644190	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00271	MCULE-8826505259	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00272	MCULE-6411210232	JXDFEQONERDKSS-UHFFFAOYSA-N
DB00273	MCULE-1098341749	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00273	MCULE-9403222429	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00273	MCULE-9769107958	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00274	MCULE-3476651387	SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00274	MCULE-6846138311	SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00275	MCULE-9101392328	VTRAEEWXHOVJFV-UHFFFAOYSA-N
DB00277	MCULE-8236489917	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DB00279	MCULE-2542095055	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00279	MCULE-7045978421	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00280	MCULE-6773312150	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00280	MCULE-8866988334	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00281	MCULE-9294700940	NNJVILVZKWQKPM-UHFFFAOYSA-N
DB00282	MCULE-4373491291	WRUUGTRCQOWXEG-UHFFFAOYSA-N
DB00285	MCULE-5156532617	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00285	MCULE-6632261838	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00291	MCULE-2575006904	JCKYGMPEJWAADB-UHFFFAOYSA-N
DB00292	MCULE-1817647743	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00292	MCULE-8274432743	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00292	MCULE-9182197758	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00293	MCULE-4162722587	IVTVGDXNLFLDRM-HNNXBMFYSA-N
DB00297	MCULE-2286784276	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00297	MCULE-5414144502	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00301	MCULE-1481027074	UIOFUWFRIANQPC-JKIFEVAISA-N
DB00302	MCULE-6087008336	GYDJEQRTZSCIOI-LJGSYFOKSA-N
DB00307	MCULE-3783114634	NAVMQTYZDKMPEU-UHFFFAOYSA-N
DB00308	MCULE-4761007717	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00308	MCULE-5393489002	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00309	MCULE-4530107640	HHJUWIANJFBDHT-KOTLKJBCSA-N
DB00309	MCULE-7368625095	HHJUWIANJFBDHT-KOTLKJBCSA-N
DB00310	MCULE-3653099088	JIVPVXMEBJLZRO-UHFFFAOYSA-N
DB00310	MCULE-5033624674	JIVPVXMEBJLZRO-UHFFFAOYSA-N
DB00310	MCULE-6661021422	JIVPVXMEBJLZRO-UHFFFAOYSA-N
DB00311	MCULE-3766215049	OUZWUKMCLIBBOG-UHFFFAOYSA-N
DB00312	MCULE-6044250008	WEXRUCMBJFQVBZ-UHFFFAOYSA-N
DB00313	MCULE-7136317196	NIJJYAXOARWZEE-UHFFFAOYSA-N
DB00315	MCULE-8433728767	ULSDMUVEXKOYBU-ZDUSSCGKSA-N
DB00316	MCULE-3844920617	RZVAJINKPMORJF-UHFFFAOYSA-N
DB00317	MCULE-6951584187	XGALLCVXEZPNRQ-UHFFFAOYSA-N
DB00318	MCULE-2327203253	OROGSEYTTFOCAN-DNJOTXNNSA-N
DB00318	MCULE-8469372478	OROGSEYTTFOCAN-DNJOTXNNSA-N
DB00318	MCULE-8676362600	OROGSEYTTFOCAN-DNJOTXNNSA-N
DB00319	MCULE-1710708785	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-3947206042	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-4673734976	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-6569523931	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-6736608092	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-6860214923	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-7023487904	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-7318373912	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	MCULE-8962332504	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00320	MCULE-2259210208	LUZRJRNZXALNLM-JGRZULCMSA-N
